arm,seed,n_train,n_dev,n_test,test_macro_f1,temperature,ece_pre,ece_post,route_tau,routed_frac,hatecheck,hc_raw,hc_uncond,hc_cond,construct_div,entropy_corr,recall,fpr,precision,accuracy,d_hate,d_off,d_norm,cascade_ms,b0_f1,f1_harm,sp_raw,sp_uncond,sp_cond,ns_raw,ns_uncond,ns_cond,hc_hr,hc_nh,gate_pct
main,0,50569,6303,6313,0.7009,1.363,0.0754,0.0447,0.7,0.3293204498653572,0.744,0.744,0.741,0.755,0.292,0.092,0.1596701649175412,0.0166666666666666,0.8949579831932774,0.5956245589273113,0.272,0.524,0.445,1179.6,0.747,0.2709923664122137,0.514,0.629,0.561,0.796,0.764,0.796,0.779,0.668,8.5
main,1,50569,6303,6313,0.7,1.298,0.0717,0.0407,0.7,0.3481704419451924,0.755,0.755,0.751,0.764,0.3,0.075,0.1986506746626686,0.0333333333333333,0.8412698412698413,0.60515172900494,0.381,0.602,0.395,1242.7,0.747,0.3214069132807762,0.592,0.666,0.632,0.8,0.775,0.8,0.827,0.598,8.5
main,2,50569,6303,6313,0.6921,1.181,0.0439,0.0263,0.66,0.3359733882464755,0.79,0.79,0.789,0.796,0.315,0.115,0.2661169415292354,0.0486666666666666,0.8294392523364486,0.6287932251235003,0.192,0.528,0.281,1289.7,0.747,0.4029511918274687,0.721,0.76,0.748,0.8,0.788,0.8,0.876,0.6,8.5
no_contrastive,0,50441,6303,6313,0.6987,1.134,0.0368,0.0267,0.66,0.3456359892285759,0.752,0.752,0.751,0.764,0.254,0.115,0.1859070464767616,0.0226666666666666,0.8794326241134752,0.6047988708539167,0.316,0.541,0.365,1261.8,0.747,0.3069306930693069,0.576,0.667,0.628,0.797,0.772,0.797,0.816,0.611,8.5
no_contrastive,1,50441,6303,6313,0.6807,1.423,0.1008,0.0708,0.74,0.3269444004435292,0.749,0.749,0.74,0.756,0.231,0.102,0.2406296851574212,0.0546666666666666,0.7965260545905707,0.6136203246294989,0.396,0.533,0.348,1189.6,0.747,0.3696027633851468,0.566,0.644,0.595,0.791,0.761,0.791,0.78,0.682,8.5
no_contrastive,2,50441,6303,6313,0.6973,1.395,0.099,0.0701,0.74,0.3426263266275938,0.81,0.81,0.791,0.814,0.215,0.036,0.2286356821589205,0.0526666666666666,0.7942708333333334,0.6090331686661962,0.32,0.619,0.303,1298.2,0.747,0.3550640279394645,0.741,0.755,0.759,0.82,0.794,0.82,0.876,0.665,8.5
soft_off,0,50569,6303,6313,0.7124,1.145,0.043,0.0218,0.74,0.3320133058767622,0.762,0.762,0.755,0.766,0.523,,0.1964017991004497,0.0393333333333333,0.8161993769470405,0.6009174311926605,0.301,0.505,0.448,1214.1,0.747,0.3166163141993958,0.662,0.679,0.681,0.785,0.772,0.785,0.828,0.615,8.5
soft_off,1,50569,6303,6313,0.7058,1.123,0.0422,0.0256,0.74,0.3416759068588626,0.747,0.747,0.751,0.755,0.377,,0.2263868065967016,0.0406666666666666,0.8319559228650137,0.6143260409315455,0.505,0.63,0.483,1194.0,0.747,0.3559222156747201,0.56,0.667,0.598,0.787,0.766,0.787,0.79,0.652,8.5
soft_off,2,50569,6303,6313,0.7145,1.121,0.0426,0.0263,0.74,0.3397750673214003,0.722,0.722,0.722,0.733,0.362,,0.1671664167916042,0.0206666666666666,0.8779527559055118,0.5970359915314044,0.35,0.6,0.496,1212.6,0.747,0.2808564231738035,0.48,0.575,0.531,0.784,0.761,0.784,0.723,0.719,8.5
soft_uw1,0,50569,6303,6313,0.7124,1.099,0.0264,0.0213,0.7,0.3020750831617298,0.782,0.782,0.772,0.785,0.354,0.089,0.1911544227886057,0.0433333333333333,0.796875,0.5963302752293578,0.389,0.422,0.408,1142.3,0.747,0.3083434099153567,0.709,0.728,0.719,0.796,0.779,0.796,0.845,0.644,8.5
soft_uw1,1,50569,6303,6313,0.7136,1.132,0.035,0.0212,0.7,0.3364485981308411,0.761,0.761,0.763,0.769,0.385,0.129,0.1896551724137931,0.028,0.8576271186440678,0.6037402964008468,0.389,0.61,0.432,1223.7,0.747,0.3106200122774707,0.621,0.695,0.655,0.781,0.764,0.781,0.827,0.615,8.5
soft_uw1,2,50569,6303,6313,0.7148,1.137,0.0387,0.0233,0.7,0.3031839062252495,0.742,0.742,0.744,0.758,0.262,0.101,0.1454272863568216,0.018,0.8778280542986425,0.5882145377558221,0.395,0.663,0.44,1090.9,0.747,0.2495176848874598,0.438,0.573,0.508,0.828,0.796,0.828,0.742,0.742,8.5
