arm,seed,test_f1,recall,fpr
main,0,0.7009,0.15967016491754124,0.016666666666666666
main,1,0.7,0.19865067466266867,0.03333333333333333
main,2,0.6921,0.2661169415292354,0.048666666666666664
soft_uw1,0,0.7124,0.1911544227886057,0.043333333333333335
soft_uw1,1,0.7136,0.1896551724137931,0.028
soft_uw1,2,0.7148,0.1454272863568216,0.018
soft_off,0,0.7124,0.19640179910044978,0.03933333333333333
soft_off,1,0.7058,0.22638680659670166,0.04066666666666666
soft_off,2,0.7145,0.1671664167916042,0.020666666666666667
no_contrastive,0,0.6987,0.18590704647676162,0.02266666666666667
no_contrastive,1,0.6807,0.24062968515742128,0.05466666666666667
no_contrastive,2,0.6973,0.22863568215892055,0.05266666666666667
